Date,Open,High,Low,Close,Adj Close,Volume
8/11/2020,200,207.699997,200,203.050003,184.299973,55142972
8/12/2020,202.5,204.899994,200.399994,204.199997,185.343781,21287010
8/13/2020,203.5,204.199997,197.100006,201.449997,182.847717,22698888
8/14/2020,201.600006,203.350006,195.5,196.399994,178.264038,28751298
8/17/2020,198.050003,199.5,196.850006,198.75,180.397049,11740766
8/18/2020,199.899994,199.899994,197.25,198.550003,180.215515,12488159
8/19/2020,198.600006,201.699997,198.100006,198.449997,180.124756,15474353
8/20/2020,197,197.199997,194.550003,195.800003,177.719452,16910449
8/21/2020,198,199.199997,196.300003,196.800003,178.627121,17233813
8/24/2020,197.25,199,196.350006,196.699997,178.536331,14737317
8/25/2020,197.25,198.300003,195.100006,195.399994,177.356384,15199264
8/26/2020,196.5,196.550003,193.649994,194.949997,176.947937,22631175
8/27/2020,198.5,198.899994,193.899994,194.25,176.312576,47212216
8/28/2020,194.600006,196.300003,194.050003,195.550003,177.492538,34645487
8/31/2020,199,199,190,191.100006,173.453461,96994911
9/1/2020,191.100006,192.350006,188.25,190.199997,172.636566,39779151
9/2/2020,191.300003,193,189.649994,191.350006,173.680374,20585374
9/3/2020,191.399994,193.25,190,191.600006,173.907272,15691462
9/4/2020,190,190,185.699997,186.699997,169.459763,41389019
9/7/2020,187.25,190.5,180.800003,189.100006,171.638168,32660563
9/8/2020,189.600006,190.550003,184.600006,188.149994,170.775864,25589032
9/9/2020,185.5,186.25,182.300003,183.800003,166.827545,27829564
9/10/2020,184.100006,185.699997,183.199997,184.899994,167.825974,17784303
9/11/2020,184.899994,186.5,182.75,183.949997,166.963684,19255948
9/14/2020,185.800003,185.850006,183,183.350006,166.419113,30992032
9/15/2020,184,184.199997,180.800003,181.800003,165.012238,30771790
9/16/2020,181.850006,183.5,180.050003,180.649994,163.96843,50641398
9/17/2020,180.800003,181.5,177.800003,178.600006,162.107742,33933262
9/18/2020,179.550003,179.850006,177,179.100006,162.561569,29782789
9/21/2020,180,180.600006,175.050003,175.75,159.520905,23891325
9/22/2020,175.75,176.75,173.75,174.199997,158.114029,18529108
9/23/2020,174.949997,177.550003,171.699997,172.5,156.57103,61785000
9/24/2020,171.699997,171.75,166.149994,166.550003,151.170456,31486355
9/25/2020,168.899994,171.199997,167,170.75,154.982605,26625318
9/28/2020,171,174.800003,170.5,173.300003,157.297134,23194638
9/29/2020,174.75,174.75,169,169.399994,153.757263,25615786
9/30/2020,170,172.100006,168.699997,171.699997,155.84491,18481590
10/1/2020,174.5,174.600006,170.100006,170.850006,155.073395,19756417
10/5/2020,171.100006,172.800003,168.75,169.25,153.621124,24298942
10/6/2020,169.5,171.600006,168.100006,169.899994,154.211105,21885190
10/7/2020,170,170.899994,169,169.5,153.848038,16286540
10/8/2020,170.100006,170.399994,166.899994,167.149994,151.715027,25502126
10/9/2020,167.5,168.899994,166.350006,167.850006,152.350418,22373277
10/12/2020,170.5,175.199997,170,172.199997,156.298721,66250422
10/13/2020,172.850006,174.850006,169.5,170.149994,154.438019,35684395
10/14/2020,170.550003,171,167.050003,167.800003,152.305023,38216229
10/15/2020,167.699997,167.800003,164.550003,165.050003,149.80896,27116799
10/16/2020,165.5,166.800003,163.800003,165.699997,150.398941,20227056
10/19/2020,166.800003,168.899994,166.149994,168.25,152.713486,19016521
10/20/2020,168,168.300003,166.699997,167.449997,151.987335,16148741
10/21/2020,168.149994,168.899994,166.600006,167.649994,152.168884,16478833
10/22/2020,167.550003,169.100006,167,168.550003,152.985779,22044107
10/23/2020,168.949997,171,167.75,170.75,154.982605,20145584
10/26/2020,171.5,171.600006,168.25,168.550003,152.985779,16080575
10/27/2020,168.5,169.300003,166.75,167.199997,151.760437,45885092
10/28/2020,168.5,168.5,165,165.5,150.217407,16820774
10/29/2020,165,165.949997,163.449997,163.850006,148.719788,21007139
10/30/2020,164,166.800003,163.350006,165.25,149.990494,16347325
11/2/2020,166.800003,167.199997,164.449997,166.75,151.35199,14370649
11/3/2020,167.199997,170.75,167.100006,170.100006,154.392639,22602903
11/4/2020,170.050003,171.800003,168.199997,169.800003,154.120346,18808819
11/5/2020,171.25,175,170.199997,174.75,158.613235,26997641
11/6/2020,176.5,177.199997,173.399994,173.949997,157.887115,34252005
11/9/2020,173.949997,177.300003,171.850006,172.800003,156.843323,35286484
11/10/2020,175,179.550003,171.850006,178.350006,161.880829,57459436
11/11/2020,179.600006,185.899994,178.600006,185.300003,168.189041,63318644
11/12/2020,185.199997,188.75,183.850006,188,170.639709,46367792
11/13/2020,187.199997,188.800003,185.550003,187.100006,169.82283,28198725
11/14/2020,189.050003,190,188.050003,188.600006,171.184311,7767144
11/17/2020,189,189.399994,186.399994,187.350006,170.049744,20950589
11/18/2020,186.800003,188.449997,182.75,184.050003,167.054474,26595992
11/19/2020,182.800003,191.800003,182.699997,187.899994,170.54895,48984610
11/20/2020,188.800003,192,186.050003,191.699997,173.998047,45307312
11/23/2020,192,192.5,188.649994,190.850006,173.226547,23180456
11/24/2020,190.600006,196.449997,190.600006,195.550003,177.492538,45411815
11/25/2020,196,197.949997,192.5,193.850006,175.949509,41659179
11/26/2020,195.100006,195.850006,192.550003,194.800003,176.811798,24222956
11/27/2020,194.449997,195.75,193.199997,193.649994,175.767975,31385396
12/1/2020,195,196.350006,192.399994,194.399994,176.44873,15893346
12/2/2020,195,198.75,193.550003,195.949997,177.855591,28425948
12/3/2020,197.199997,197.199997,194.550003,196.199997,178.082504,28009042
12/4/2020,196.850006,199.350006,196.5,198.199997,179.897827,22152332
12/7/2020,198.199997,203.75,197.600006,203.149994,184.390732,35693450
12/8/2020,203.899994,204.699997,199.550003,202.449997,183.755371,30853963
12/9/2020,205,207.800003,204.649994,205.399994,186.432953,39684395
12/10/2020,206.649994,213.649994,203.149994,212.699997,193.058868,65227495
12/11/2020,214.449997,217.949997,213.350006,216.300003,196.326447,60322445
12/14/2020,217.949997,218.600006,215,215.899994,195.963379,26990063
12/15/2020,215.25,216.399994,211.600006,213.550003,193.830399,23255609
12/16/2020,213.75,215.550003,213.5,214,194.238831,19551630
12/17/2020,214.199997,215.100006,211.25,213.050003,193.376541,22386185
12/18/2020,213.100006,215.949997,209.75,214.5,194.692657,23775053
12/21/2020,214.5,214.699997,199.149994,202.949997,184.209198,41834797
12/22/2020,203.100006,206.25,196.899994,203.399994,184.617645,40986353
12/23/2020,203,208.25,202,207.75,188.565964,23695667
12/24/2020,210,210.649994,205.600006,208.600006,189.337479,22768284
12/28/2020,209,210.199997,207.850006,209.5,190.154373,15741000
12/29/2020,210.5,213.5,210.100006,211.550003,192.01506,26546469
12/30/2020,212.699997,213.5,209.550003,211.149994,191.651993,18925262
12/31/2020,210.550003,211.300003,208.550003,209,189.700516,18245270
1/1/2021,209.899994,214.199997,209.300003,213.850006,194.102692,19527333
1/4/2021,214,216,212.100006,213.399994,193.694229,26891799
1/5/2021,212.449997,213.25,210.600006,211.449997,191.924301,18024083
1/6/2021,211.449997,211.5,204.5,205.399994,186.432953,49067837
1/7/2021,206.100006,207.600006,202.100006,202.800003,184.073059,34952401
1/8/2021,204.350006,206,200.25,201.5,182.893097,56427360
1/11/2021,204,206.100006,201.25,202.5,183.800766,42970983
1/12/2021,203,206.899994,201.600006,206.449997,187.386002,35617404
1/13/2021,207.449997,213,205.25,211.25,191.742767,63925996
1/14/2021,212,216.5,211.600006,214.149994,194.374985,48304263
1/15/2021,214.899994,218.5,211.199997,217.850006,197.733307,58321158
1/18/2021,218.399994,222,214.600006,219.75,199.457855,67607822
1/19/2021,221,221.699997,217.5,218.850006,198.640976,31785089
1/20/2021,218.5,219,215.699997,217.649994,197.551773,44672447
1/21/2021,219,219.5,212.199997,213.699997,193.966522,28999164
1/22/2021,214,214.75,209.149994,210.699997,191.243546,24712182
1/25/2021,212,212.5,206.850006,207.800003,188.611359,24967899
1/27/2021,208,212.649994,207.100006,210.649994,191.198151,48471357
1/28/2021,209.25,211,205.75,206.600006,187.522156,22131983
1/29/2021,208.550003,208.800003,202.350006,203.25,184.481491,23764654
2/1/2021,204,217.949997,201.800003,215.949997,196.008774,57744414
2/2/2021,220,223.5,217,218.199997,198.050995,48457781
2/3/2021,221.5,222,215.699997,216.75,196.734894,53643263
2/4/2021,216.100006,231.399994,216,229.949997,208.715973,105818897
2/5/2021,232.149994,238.850006,227.25,234.350006,212.709702,125490301
2/8/2021,237.5,238.050003,231.5,233.100006,211.575104,41495834
2/9/2021,234.600006,239.199997,228.199997,229,207.853699,70655961
2/10/2021,229,231.100006,223.100006,227.550003,206.537598,47283127
2/11/2021,229,229.300003,224.5,226.449997,205.539169,43631374
2/12/2021,225.75,225.75,215.800003,217.449997,197.370255,110568108
2/15/2021,218.449997,221,217.5,218.600006,198.414047,31776555
2/16/2021,219.050003,221.800003,217.25,218.25,198.096375,29148891
2/17/2021,217.600006,218.399994,216.550003,217.75,197.642532,19850516
2/18/2021,218.199997,220.600006,217.899994,218.850006,198.640976,24070563
2/19/2021,218.850006,218.899994,214,215.949997,196.008774,28125203
2/22/2021,212,212,206,207.050003,192.384995,51546288
2/23/2021,208,210.550003,207,208.5,193.732285,26675953
2/24/2021,209.100006,209.800003,206.5,208.850006,194.057495,13160617
2/25/2021,209.5,211.199997,208.800003,209.149994,194.336227,25954142
2/26/2021,207.25,208,203,203.850006,189.411636,43429293
3/1/2021,205.449997,207.75,204.050003,206.899994,192.245605,16225536
3/2/2021,207,210.800003,206.5,209.899994,195.033112,25604169
3/3/2021,212,212,208.800003,209.949997,195.079575,20846117
3/4/2021,208.800003,211.300003,207.600006,209.699997,194.847275,24899212
3/5/2021,208,210,207.199997,208.550003,193.778748,17323590
3/8/2021,209.699997,210.800003,207.699997,208,193.267715,22988740
3/9/2021,208.699997,209.75,204.75,207.800003,193.081863,22593086
3/10/2021,209.100006,209.199997,205.800003,206.5,191.873947,19603214
3/12/2021,208,208,203.5,205.199997,190.666016,30787960
3/15/2021,205.850006,206,201.600006,205.449997,190.898315,41115805
3/16/2021,206.399994,208.899994,204.949997,207.850006,193.128342,48763187
3/17/2021,212.199997,213.899994,208.550003,210.600006,195.683548,78578698
3/18/2021,213,219.100006,211.899994,217.649994,202.234207,91993104
3/19/2021,219,226.149994,215.550003,222.949997,207.158813,134184994
3/22/2021,223.300003,226.399994,221.5,226,209.992798,46050245
3/23/2021,225,228.100006,221.300003,222.199997,206.461929,41564683
3/24/2021,221,222.800003,215.25,215.949997,200.654617,27609243
3/25/2021,215.149994,215.949997,209.050003,211.600006,196.612732,40681282
3/26/2021,214.25,214.449997,210.350006,210.899994,195.96228,26079435
3/30/2021,213.25,215,210.399994,214.550003,199.353775,27792033
3/31/2021,214.050003,219.300003,212.699997,218.5,203.024002,36485322
4/1/2021,220,220.600006,217.300003,220.050003,204.464218,29062762
4/5/2021,217.600006,220,210.5,212.550003,197.495438,31378045
4/6/2021,213.800003,214.949997,210.149994,212.649994,197.588348,25674227
4/7/2021,212.699997,215.199997,212.449997,213.800003,198.656891,15204883
4/8/2021,214.850006,216.100006,212.850006,213.25,198.145859,14116874
4/9/2021,213.75,215.949997,212.550003,213.100006,198.006485,16364247
4/12/2021,210,211,205,205.300003,190.758942,34511670
4/13/2021,207,209.699997,206,208.699997,193.918121,20247639
4/15/2021,209,210.449997,206,206.699997,192.059784,17530742
4/16/2021,208,209.25,206.5,207.949997,193.221237,13311926
4/19/2021,205,206.100006,203.75,205.600006,191.037704,15792299
